request# ,node-0.12.9.log,node-4.2.0.log,node-4.3.0.log,node-5.5.0.log,node-5.6.0.log
1,62,25,18,23,21
2,53,26,19,17,19
3,59,15,16,15,20
4,60,15,16,12,13
5,59,15,13,22,22
6,65,24,16,17,12
7,59,29,19,19,13
8,59,24,15,12,20
9,61,51,19,19,18
10,59,16,19,13,13
11,59,13,19,12,20
12,62,27,19,13,14
13,62,13,25,18,14
14,57,22,38,21,13
15,55,26,17,11,13
16,86,26,19,23,21
17,53,29,20,23,13
18,61,14,15,12,20
19,59,16,63,16,43
20,63,14,19,14,13
21,61,12,21,22,12
22,59,12,13,22,14
23,62,26,19,12,18
24,62,11,19,12,18
25,63,23,13,22,12
26,55,14,18,14,18
27,55,14,18,18,13
28,63,13,19,18,16
29,56,26,12,14,13
30,56,17,18,13,20
31,64,13,18,14,13
32,51,12,17,19,19
33,60,14,11,13,12
34,65,14,12,14,13
35,62,14,20,14,20
36,62,12,12,14,12
37,58,11,13,13,12
38,65,13,18,17,12
39,61,14,15,13,19
40,59,13,12,13,15
41,60,15,18,15,69
42,56,26,23,16,26
43,57,21,21,20,55
44,55,13,15,19,35
45,69,13,13,14,22
46,60,46,12,13,34
47,67,14,18,12,22
48,65,14,16,12,23
49,,15,11,14,13
50,,23,18,14,24
51,,23,12,13,12
52,,16,12,15,13
53,,12,19,15,36
54,,14,13,14,25
55,,12,13,14,13
56,,12,21,12,27
57,,25,12,14,24
58,,12,12,15,23
59,,13,18,14,14
60,,66,15,17,25
61,,22,12,12,12
62,,19,15,15,75
63,,23,14,16,29
64,,24,17,16,42
65,,26,19,21,64
66,,21,13,14,52
67,,19,14,12,30
68,,21,12,13,28
69,,14,12,17,26
70,,23,12,15,17
71,,21,13,12,26
72,,19,12,11,18
73,,26,14,15,35
74,,11,12,12,50
75,,23,16,15,23
76,,16,20,23,31
77,,12,12,12,25
78,,12,17,15,22
79,,22,57,21,16
80,,12,22,13,14
81,,14,12,13,18
82,,13,14,12,89
83,,23,15,23,36
84,,22,14,15,33
85,,15,15,15,29
86,,15,16,61,16
87,,13,20,18,17
88,,13,14,18,24
89,,14,13,21,18
90,,60,15,12,25
91,,17,14,18,16
92,,13,16,13,26
93,,12,15,17,16
94,,13,14,13,17
95,,14,12,18,17
96,,12,20,19,15
97,,13,12,18,26
98,,15,16,16,20
99,,12,13,12,53
100,,14,15,18,61
101,,12,12,21,20
102,,13,12,19,18
103,,13,14,17,19
104,,11,14,13,62
105,,13,14,12,71
106,,12,14,13,35
107,,13,14,12,21
108,,17,12,13,20
109,,12,14,19,18
110,,11,14,12,13
111,,23,12,12,22
112,,13,12,11,12
113,,12,14,18,20
114,,13,,19,20
115,,13,,13,12
116,,,,12,19
117,,,,13,15
118,,,,12,12
119,,,,19,14
120,,,,12,19
121,,,,12,12
122,,,,13,12
123,,,,13,19
124,,,,12,66
125,,,,13,55
126,,,,13,21
127,,,,17,24
128,,,,20,14
129,,,,22,24
130,,,,20,19
131,,,,32,31
132,,,,17,18
133,,,,11,14
134,,,,11,15
135,,,,12,12
136,,,,11,16
137,,,,12,11
138,,,,13,16
139,,,,14,14
140,,,,16,14
141,,,,13,12
142,,,,11,25
143,,,,13,12
144,,,,12,14
145,,,,11,11
146,,,,59,15
147,,,,26,11
148,,,,18,20
149,,,,19,13
150,,,,20,14
151,,,,19,13
152,,,,18,14
153,,,,18,14
154,,,,18,12
155,,,,13,14
156,,,,11,15
157,,,,13,12
158,,,,18,12
159,,,,12,61
160,,,,19,16
161,,,,20,16
162,,,,17,13
163,,,,17,18
164,,,,17,18
165,,,,19,17
166,,,,20,18
167,,,,13,29
168,,,,17,19
169,,,,12,15
170,,,,12,17
171,,,,12,15
172,,,,12,16
173,,,,12,14
174,,,,11,15
175,,,,13,26
176,,,,13,18
177,,,,17,17
178,,,,13,16
179,,,,17,19
180,,,,13,18
181,,,,14,17
182,,,,11,21
183,,,,12,
184,,,,12,
185,,,,12,
186,,,,17,
187,,,,12,
188,,,,12,
189,,,,11,
190,,,,12,
191,,,,13,
192,,,,13,
193,,,,14,
194,,,,14,
195,,,,14,
196,,,,21,
197,,,,15,
198,,,,11,
199,,,,14,
200,,,,11,
201,,,,19,
202,,,,12,
203,,,,12,
204,,,,12,
205,,,,58,
206,,,,12,
207,,,,14,
208,,,,16,
209,,,,15,
210,,,,13,
211,,,,14,
212,,,,15,
213,,,,11,
214,,,,12,
215,,,,14,
216,,,,18,
217,,,,13,
218,,,,14,
219,,,,14,
220,,,,15,
221,,,,12,
222,,,,13,
223,,,,14,
224,,,,14,
225,,,,13,
226,,,,14,
227,,,,12,
228,,,,14,
229,,,,12,
230,,,,13,
231,,,,15,
232,,,,14,
233,,,,12,
234,,,,15,
235,,,,15,
236,,,,13,
237,,,,14,
238,,,,15,
239,,,,17,
240,,,,15,
241,,,,65,
242,,,,51,
